mfcc6_mean,mfcc3_mean,chroma_stft_var,mfcc5_var,mfcc4_var,mfcc4_mean,mfcc1_mean,rms_mean,mfcc19_mean,mfcc6_var,genre
27.671288,-46.561653,0.073393926,36.069576,49.274513,56.232224,-104.706055,0.08735214,-6.568527,27.36449,rock
11.746567,8.265343,0.08375184,88.10616,117.48338,31.570034,-91.19285,0.13102306,2.394349,48.342926,jazz
16.039679,-21.19707,0.08983345,132.05093,191.77794,23.251205,-258.6183,0.075319566,2.5469537,98.97276,jazz
28.397894,-23.913242,0.08285031,80.54339,92.86256,48.796436,-103.81963,0.08777672,-4.823014,63.007763,rock
-9.179211,-0.4888484,0.08897637,125.36088,159.32892,33.56747,-160.83722,0.09152533,-4.056887,136.5999,jazz
4.759505,17.096344,0.08031312,94.85835,118.59921,12.976328,-216.91211,0.0444495,0.96017313,87.011375,jazz
9.8686495,15.893677,0.08425574,99.391846,167.4237,5.463454,-78.25112,0.09873619,-2.3203542,44.543236,rock
5.8059735,-26.748222,0.088219784,81.10595,205.62842,18.287027,-86.23053,0.105003394,0.6121195,73.03088,rock
10.58986,44.504044,0.102901906,192.01102,267.98785,28.829775,-344.8376,0.042361323,-1.5756664,173.60805,jazz
-3.3616493,44.286976,0.09414855,255.16895,313.46237,13.8858795,-207.78957,0.09434018,-3.0328755,252.89844,hiphop
35.276592,-26.04918,0.08978992,137.09814,204.08177,57.777206,-116.10367,0.1267097,-3.3283064,70.41442,blues
43.940205,-9.034801,0.08627647,55.504692,82.26878,64.83907,-132.7934,0.10684805,-5.361654,38.365437,blues
12.992582,28.838129,0.09188142,200.94623,249.14677,10.529795,-124.765335,0.09849594,-2.1827059,90.27236,hiphop
7.352713,27.731276,0.09571696,175.73232,356.58273,23.846823,-104.6889,0.15399191,3.1393096,168.0454,pop
32.11406,-34.284554,0.08294552,103.30188,98.68578,41.691544,-48.891666,0.15886639,-4.749356,47.809475,blues
7.4067435,29.820192,0.090043634,101.37977,102.49879,23.254583,-98.87452,0.13619131,0.83701897,103.04473,pop
15.080063,20.56968,0.088704176,202.51697,362.54736,39.288235,-105.65588,0.14337438,-6.343658,98.67227,hiphop
28.232374,-26.475939,0.08570955,186.10634,232.97346,41.65619,-139.7744,0.088718034,-4.7500362,136.19896,hiphop
-2.4144366,-34.848274,0.08272729,43.506077,88.722755,25.946554,-205.21895,0.061894268,-7.322533,43.664185,classical
8.358494,-6.678469,0.07405502,61.577972,97.0702,32.700874,-68.742714,0.14150994,0.10505258,58.288925,pop
18.925741,27.215788,0.09636176,214.09073,210.25934,18.351978,-362.8782,0.05863075,2.1936882,68.99275,blues
26.604435,0.28450263,0.09447682,259.2791,351.4074,47.09271,-184.36198,0.115621515,1.6582568,154.40819,blues
35.77225,-1.3556006,0.08498399,217.9604,188.57866,51.10946,-130.11635,0.095110595,-6.3625565,83.150826,hiphop
-4.647311,26.513851,0.08501627,119.60582,167.8273,-2.508735,-426.84753,0.028344963,0.12011615,94.87181,classical
5.292381,11.966803,0.09482794,382.27368,483.85315,-6.4903502,-96.77501,0.14680617,-5.40815,305.91763,pop
-4.74129,-27.15895,0.08264481,61.818813,82.85695,27.98654,-276.75745,0.04663666,-1.0655019,30.089977,classical
5.1134,26.391169,0.09043707,332.69852,196.54161,9.179243,-214.77637,0.07296686,-1.8285377,187.30865,pop
29.638336,-21.017467,0.095349796,154.74698,179.37521,46.384117,-147.22734,0.120024525,-2.7210321,116.71897,disco
28.146292,10.161388,0.078133844,225.12991,413.52036,38.190174,-180.74252,0.07395225,-5.1363945,180.19739,disco
9.946346,-12.588393,0.07945819,66.849304,78.73605,67.07227,-82.60712,0.13477002,-6.048518,106.08261,metal
27.114166,-30.515797,0.070957616,87.863014,112.40507,56.768837,-88.4185,0.092821434,-4.677892,60.37257,metal
21.895483,-48.42628,0.078265466,165.13065,201.47818,36.94433,-91.02371,0.09909485,-4.613617,132.15417,disco
23.987827,1.3203713,0.09770173,310.19525,301.81558,19.576982,-245.84714,0.074119814,0.15496525,248.80623,reggae
24.532818,-18.571356,0.093439765,153.22038,312.6326,34.569313,-144.2961,0.09010478,0.42981175,212.06631,disco
25.327784,-25.86416,0.08657029,138.16498,150.41252,41.034203,-115.35565,0.11294728,-5.3603015,142.78307,reggae
25.334057,-5.273559,0.08687427,313.7973,302.2821,40.89697,-232.39638,0.06447987,-3.8226595,244.69646,reggae
-4.169811,-17.014923,0.09264875,192.9206,398.71356,17.149841,-86.637085,0.11071685,-3.937392,167.34027,country
17.836893,-18.64957,0.095912024,224.4155,162.66829,47.20846,-216.64818,0.07887496,-7.480375,142.52545,country
4.713377,2.787639,0.085142806,440.3573,290.81628,25.428555,-248.2515,0.09371997,-4.7216954,174.81569,country
19.901155,-13.913342,0.08694981,221.53229,277.57877,54.03431,-144.37946,0.10412444,-5.8145976,193.97867,country
24.366138,-24.365309,0.0806961,74.75331,141.64136,66.03987,-82.55182,0.12639435,-3.263121,60.00711,country
6.2214694,-23.104338,0.09088064,286.1751,293.38235,46.92881,-227.27025,0.07829781,-4.6451287,174.8981,country
16.125492,-20.151533,0.08632149,248.49057,365.64664,40.10693,-187.52786,0.08782905,-3.7596385,157.16368,country
15.062379,-7.1811085,0.09281252,308.97336,268.45523,29.811659,-308.26462,0.04034731,0.59658563,161.94098,country
23.659817,-13.744733,0.08571874,196.87314,195.45332,48.086765,-159.89706,0.09063005,-6.1681046,112.23255,country
5.529857,-2.9830809,0.08535798,257.0062,318.57224,20.589539,-179.76723,0.0932112,5.6223273,382.711,country
19.750479,-1.2462666,0.08836368,252.81366,236.58482,42.10688,-249.95862,0.071445405,-2.53451,236.81003,reggae
35.08938,1.7292242,0.09485158,261.91913,329.98447,36.318825,-202.07048,0.10520119,-4.4804945,147.66013,reggae
-5.2389617,-39.04738,0.09267418,154.34482,275.4731,30.110306,-285.50122,0.043732822,1.053647,170.3886,disco
26.318014,-7.61676,0.095167354,318.2047,493.67435,41.815086,-210.9139,0.08352617,-3.518669,146.7239,reggae
42.56279,14.072256,0.08086908,231.06898,285.0524,46.44404,-139.88628,0.12019334,-1.250766,138.50798,disco
32.67444,-38.99196,0.082116574,44.872986,64.038765,40.078083,-96.29699,0.09354404,-1.370577,36.989937,metal
31.46973,-29.879734,0.0687748,53.599224,129.32146,70.70247,-79.375206,0.13444209,1.2336267,66.45816,metal
26.478806,-39.52668,0.088400364,160.80443,316.07877,44.61168,-206.24438,0.05395864,-0.27891615,107.763626,disco
29.521315,-17.297058,0.076843105,121.32951,206.04008,43.224518,-137.47136,0.076991566,-3.8692453,99.29103,disco
-3.2863255,-6.2915816,0.08558601,100.40745,132.33939,19.992626,-112.48348,0.13246514,0.607019,144.53535,pop
-3.567952,-19.256065,0.08792519,80.273895,81.40484,22.924042,-324.22427,0.030609975,-2.418012,53.623283,classical
-3.3778546,26.060661,0.10005422,211.34862,244.1193,16.4898,-93.487564,0.15903863,-0.22639683,327.02487,pop
-0.8260771,46.491146,0.08209279,93.23644,232.489,15.255596,-498.87152,0.0124628255,-2.568881,86.207344,classical
21.724785,7.1450787,0.09674989,303.0882,246.8156,37.359455,-235.1854,0.09640107,-4.3049197,186.73872,blues
19.901602,-38.181576,0.08758105,322.54007,266.91595,44.830784,-146.06949,0.090948574,-2.4680607,171.80957,hiphop
27.830198,-30.087378,0.08363147,134.09467,117.683136,47.504112,-138.44577,0.08408923,0.06258815,87.40038,hiphop
24.695492,24.571495,0.100379154,234.18759,306.37488,44.35928,-344.24466,0.056738846,-6.0158887,159.28198,blues
0.48218855,-1.7508775,0.094121344,442.26297,424.8078,15.380782,-71.248344,0.15080874,4.333005,346.9958,pop
3.526371,-3.354337,0.087786965,56.307507,75.84156,14.1762495,-350.1823,0.029875174,5.107192,57.15787,classical
5.66781,28.696976,0.08307328,237.28831,280.3647,26.61654,-128.76332,0.10865848,-0.12931347,153.40924,pop
31.90791,-25.287563,0.07871707,70.00981,65.681564,45.241856,-52.645954,0.16257626,-6.0290227,42.56526,blues
16.86953,39.82707,0.08869011,276.42612,391.70935,49.928345,-107.21313,0.16086605,-2.100605,128.11111,hiphop
4.6155562,38.53756,0.091601536,271.07565,491.89203,14.412726,-159.62372,0.1258905,1.7206105,219.79486,pop
39.825047,12.707908,0.087683864,33.36021,43.29789,80.86263,-189.04836,0.11294953,-8.647489,38.18097,blues
14.40895,-10.985069,0.097339295,189.8015,221.46237,43.603493,-183.52615,0.10031859,-4.201375,122.95434,hiphop
