Feature,Importance
mfcc3_mean,0.30022634376001983
mfcc6_mean,0.2886717461988548
chroma_stft_var,0.2722197650071529
mfcc5_var,0.26637305716160165
mfcc4_var,0.2303400314040629
mfcc6_var,0.18545244686170054
mfcc1_mean,0.15131190296065838
mfcc4_mean,0.15105358194594654
mfcc8_mean,0.149564663987062
rms_mean,0.1374031647066219
mfcc10_mean,0.13595541963140315
mfcc8_var,0.10303068685457817
perceptr_var,0.09964227254293284
chroma_stft_mean,0.09671092357125419
mfcc9_mean,0.09287367890053622
mfcc14_mean,0.08991741840274564
rms_var,0.08911961498078477
mfcc16_var,0.08806687312502876
mfcc9_var,0.06999089166691809
perceptr_mean,0.054189031437847784
harmony_mean,0.049966058705798296
spectral_bandwidth_mean,0.049664815662431194
rolloff_mean,0.045941234851270496
rolloff_var,0.04552055684868078
mfcc10_var,0.04355048619721742
mfcc19_var,0.034198316306226856
mfcc7_mean,0.028479439456430805
mfcc3_var,0.021438780704314916
mfcc19_mean,0.014544575243999526
spectral_bandwidth_var,0.010246325098935916
spectral_centroid_var,0.010106356763099622
mfcc11_var,0.009598026754851899
mfcc12_mean,0.009251208765956836
mfcc15_var,0.0072490295264733
spectral_centroid_mean,0.006342901830587722
mfcc18_var,0.0020853802058437287
mfcc20_var,-0.00047994783271711194
mfcc17_var,-0.009736055485399249
mfcc11_mean,-0.011521894241072202
zero_crossing_rate_var,-0.015329010495671952
harmony_var,-0.027652654158236645
mfcc16_mean,-0.03214484623001035
mfcc2_var,-0.03481490107347188
mfcc5_mean,-0.05902246463556496
mfcc7_var,-0.06193597587483246
tempo,-0.062223665720959345
mfcc14_var,-0.06347391681607258
zero_crossing_rate_mean,-0.08544272152760404
mfcc15_mean,-0.0906196859075607
mfcc13_mean,-0.09413941759354215
length,-0.0958231164957549
mfcc1_var,-0.09802600869852016
mfcc12_var,-0.09820548471469685
mfcc18_mean,-0.11051826670857054
mfcc2_mean,-0.11166237581049049
mfcc13_var,-0.13551265142183702
mfcc20_mean,-0.17302255393596952
mfcc17_mean,-0.17429273736086653
