Iteration,Best Hyperparameters,Recall (Validation Set),F1 Score (Validation Set),Accuracy (Validation Set),Recall (2:1 ratio),F1 Score (2:1 ratio),Accuracy (2:1 ratio),Recall (10:1 ratio),F1 Score (10:1 ratio),Accuracy (10:1 ratio)
1,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
2,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
3,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
4,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
5,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
6,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
7,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
8,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
9,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
10,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.62,0.5745122655122655,0.62,0.6846846846846847,0.6827455759338876,0.6846846846846847,0.6326326326326326,0.6253690895356814,0.6326326326326326
