Iteration,Best Hyperparameters,Recall,F1 Score
1,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.705,0.7076341437920043
2,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.74,0.7393330056764492
3,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.745,0.7443192591536022
4,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.76,0.7642811370914356
5,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.74,0.7408510043215926
6,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.81,0.8091825392740623
7,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.765,0.7659969313021415
8,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.705,0.704116202887777
9,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.78,0.7776189840840628
10,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.75,0.7465895845150312
